feature,importance
V1_bp_hf_15_40,0.07027612944834483
V1_bpr_hf_15_40,0.06958822902121366
V1_spec_entropy,0.06692044354420319
V1_centroid,0.042951100647234404
V1_edge95,0.04156178960290455
V2_bp_hf_15_40,0.036071229687720356
V3_bp_mf_5_15,0.03586571097129332
V3_bpr_mf_5_15,0.03493669636267566
V2_bpr_hf_15_40,0.03173651190361424
V2_edge95,0.029416466628297964
V2_bpr_mf_5_15,0.02628293119340851
V1_n_peaks,0.02594897831287406
V2_bp_mf_5_15,0.024068062005719617
V1_bpr_lf_0p5_5,0.022347150246943982
V3_edge95,0.02206802133902072
V1_bp_lf_0p5_5,0.021074157229739588
V2_rms,0.019759693296911914
V1_dom_freq,0.01952746985729733
V3_bpr_lf_0p5_5,0.018698885218585006
V2_std,0.01865561550380145
V1_ptp,0.01837458365166849
V3_bp_lf_0p5_5,0.01723557890728695
V2_bpr_lf_0p5_5,0.017036989808185316
V1_bpr_mf_5_15,0.016746869562279575
V2_spec_entropy,0.01627772015927776
V3_centroid,0.016126480932952745
V2_dom_freq,0.015833562491864135
V2_centroid,0.0157895700042504
V3_std,0.015385016040511035
V3_ptp,0.01486097416431258
V2_ptp,0.014821620387078653
V1_bp_mf_5_15,0.014712212652874082
V3_rms,0.014416329001173536
V3_bp_hf_15_40,0.013937248931470227
V3_spec_entropy,0.013909299394346295
V3_bpr_hf_15_40,0.01389242490108996
V2_n_peaks,0.013352820432896723
V2_bp_lf_0p5_5,0.01308211849749621
V3_dom_freq,0.012439077850971819
V3_n_peaks,0.011638230356099549
V1_std,0.011268670759659536
V1_rms,0.011107329090450157
