t,risk,forecast,forecast_lo,forecast_hi,slope_per_sec,pre_alert,crossed
0.0,0.0452,0.0452,0.0452,0.0452,0.0,0,0
1.0,0.0523,0.0515,0.0515,0.0515,0.0009,0,0
2.0,0.045,0.0489,0.0489,0.0489,0.0004,0,0
3.0,0.0205,0.0253,0.0,0.0723,-0.0029,0,0
4.0,0.0536,0.0397,0.0,0.0963,-0.0005,0,0
5.0,0.0467,0.0439,0.0,0.0953,0.0001,0,0
6.0,0.0319,0.0338,0.0,0.0829,-0.0013,0,0
7.0,0.0487,0.0423,0.0,0.0901,0.0001,0,0
8.0,0.0455,0.0453,0.0005,0.0901,0.0005,0,0
9.0,0.0444,0.0462,0.004,0.0884,0.0005,0,0
10.0,0.0404,0.043,0.0027,0.0833,0.0,0,0
11.0,0.0482,0.0476,0.0089,0.0864,0.0006,0,0
12.0,0.029,0.0335,0.0,0.0738,-0.0014,0,0
13.0,0.0494,0.0425,0.0023,0.0828,0.0,0,0
14.0,0.0565,0.055,0.0144,0.0955,0.0017,0,0
15.0,0.0845,0.0873,0.0394,0.1352,0.0059,0,0
16.0,0.088,0.1094,0.0615,0.1574,0.0081,1,0
17.0,0.0949,0.1262,0.0795,0.1729,0.0093,1,0
18.0,0.0994,0.1364,0.091,0.1819,0.0094,1,0
19.0,0.1191,0.1555,0.111,0.2,0.0107,0,1
20.0,0.1349,0.1765,0.1328,0.2202,0.0121,0,1
21.0,0.1425,0.1908,0.1481,0.2335,0.0124,0,1
22.0,0.1779,0.2247,0.181,0.2685,0.0154,0,1
23.0,0.1855,0.2461,0.2033,0.2889,0.0162,0,1
24.0,0.1416,0.213,0.1547,0.2713,0.0095,0,1
25.0,0.1657,0.2059,0.147,0.2648,0.0072,0,1
26.0,0.2033,0.2298,0.1711,0.2885,0.0095,0,1
27.0,0.2114,0.2482,0.1904,0.3059,0.0107,0,1
28.0,0.2328,0.2736,0.2163,0.3309,0.0127,0,1
29.0,0.2447,0.2944,0.238,0.3508,0.0138,0,1
30.0,0.2851,0.3365,0.2786,0.3944,0.0177,0,1
31.0,0.2485,0.3234,0.2619,0.3848,0.0135,0,1
32.0,0.2714,0.3266,0.2655,0.3877,0.0121,0,1
33.0,0.3195,0.3643,0.3024,0.4262,0.0156,0,1
34.0,0.3104,0.3736,0.3123,0.4349,0.0147,0,1
35.0,0.3225,0.3822,0.3215,0.4429,0.0139,0,1
36.0,0.3167,0.3751,0.3135,0.4367,0.011,0,1
37.0,0.3116,0.3593,0.296,0.4226,0.0074,0,1
38.0,0.3507,0.3785,0.3158,0.4412,0.009,0,1
39.0,0.3616,0.3963,0.3343,0.4584,0.0102,0,1
